Date,LMP,HUB
1/1/2022 12:00:00 AM,27.12,ARKANSAS.HUB
1/1/2022 12:00:00 AM,22.46,ILLINOIS.HUB
1/1/2022 12:00:00 AM,23.39,INDIANA.HUB
1/1/2022 12:00:00 AM,28.56,TEXAS.HUB
1/1/2022 12:00:00 AM,28.72,LOUISIANA.HUB
1/1/2022 12:00:00 AM,23.62,MICHIGAN.HUB
1/1/2022 12:00:00 AM,21.01,MINN.HUB
1/1/2022 12:00:00 AM,27.66,MS.HUB
1/1/2022 2:00:00 AM,23.61,ARKANSAS.HUB
1/1/2022 2:00:00 AM,24.78,TEXAS.HUB
1/1/2022 2:00:00 AM,22.54,ILLINOIS.HUB
1/1/2022 2:00:00 AM,23.41,INDIANA.HUB
1/1/2022 2:00:00 AM,25.06,LOUISIANA.HUB
1/1/2022 2:00:00 AM,23.58,MICHIGAN.HUB
1/1/2022 2:00:00 AM,20.6,MINN.HUB
1/1/2022 2:00:00 AM,24.06,MS.HUB
1/1/2022 3:00:00 AM,22.06,ARKANSAS.HUB
1/1/2022 3:00:00 AM,21.82,ILLINOIS.HUB
1/1/2022 3:00:00 AM,22.69,INDIANA.HUB
1/1/2022 3:00:00 AM,23.1,TEXAS.HUB
1/1/2022 3:00:00 AM,23.43,LOUISIANA.HUB
1/1/2022 3:00:00 AM,22.82,MICHIGAN.HUB
1/1/2022 3:00:00 AM,21.79,MINN.HUB
1/1/2022 3:00:00 AM,22.5,MS.HUB
1/1/2022 4:00:00 AM,21.85,ARKANSAS.HUB
1/1/2022 4:00:00 AM,21.43,ILLINOIS.HUB
1/1/2022 4:00:00 AM,22.36,INDIANA.HUB
1/1/2022 4:00:00 AM,22.92,TEXAS.HUB
1/1/2022 4:00:00 AM,23.23,LOUISIANA.HUB
1/1/2022 4:00:00 AM,22.49,MICHIGAN.HUB
1/1/2022 4:00:00 AM,21.54,MINN.HUB
1/1/2022 4:00:00 AM,22.29,MS.HUB
1/1/2022 5:00:00 AM,22.76,LOUISIANA.HUB
1/1/2022 5:00:00 AM,21.45,ARKANSAS.HUB
1/1/2022 5:00:00 AM,20.69,ILLINOIS.HUB
1/1/2022 5:00:00 AM,21.56,INDIANA.HUB
1/1/2022 5:00:00 AM,22.49,TEXAS.HUB
1/1/2022 5:00:00 AM,21.55,MICHIGAN.HUB
1/1/2022 5:00:00 AM,21,MINN.HUB
1/1/2022 5:00:00 AM,21.86,MS.HUB
1/1/2022 6:00:00 AM,22.15,ARKANSAS.HUB
1/1/2022 6:00:00 AM,23.07,TEXAS.HUB
1/1/2022 6:00:00 AM,21.93,ILLINOIS.HUB
1/1/2022 6:00:00 AM,22.83,INDIANA.HUB
1/1/2022 6:00:00 AM,22.7,MICHIGAN.HUB
1/1/2022 6:00:00 AM,22.46,MINN.HUB
1/1/2022 6:00:00 AM,22.55,MS.HUB
1/1/2022 6:00:00 AM,23.43,LOUISIANA.HUB
1/1/2022 7:00:00 AM,22.27,ARKANSAS.HUB
1/1/2022 7:00:00 AM,21.97,ILLINOIS.HUB
1/1/2022 7:00:00 AM,22.84,INDIANA.HUB
1/1/2022 7:00:00 AM,23.54,LOUISIANA.HUB
1/1/2022 7:00:00 AM,23.21,TEXAS.HUB
1/1/2022 7:00:00 AM,22.64,MICHIGAN.HUB
1/1/2022 7:00:00 AM,22.41,MINN.HUB
1/1/2022 7:00:00 AM,22.62,MS.HUB
1/1/2022 8:00:00 AM,22.69,ARKANSAS.HUB
1/1/2022 8:00:00 AM,22.43,ILLINOIS.HUB
1/1/2022 8:00:00 AM,23.3,INDIANA.HUB
1/1/2022 8:00:00 AM,23.65,TEXAS.HUB
1/1/2022 8:00:00 AM,23.97,LOUISIANA.HUB
1/1/2022 8:00:00 AM,23.17,MICHIGAN.HUB
1/1/2022 8:00:00 AM,23.06,MINN.HUB
1/1/2022 8:00:00 AM,23.01,MS.HUB
1/1/2022 9:00:00 AM,24.22,INDIANA.HUB
1/1/2022 9:00:00 AM,24.46,MS.HUB
1/1/2022 9:00:00 AM,24.15,ARKANSAS.HUB
1/1/2022 9:00:00 AM,23.08,ILLINOIS.HUB
1/1/2022 9:00:00 AM,25.42,TEXAS.HUB
1/1/2022 9:00:00 AM,25.53,LOUISIANA.HUB
1/1/2022 9:00:00 AM,24.08,MICHIGAN.HUB
1/1/2022 9:00:00 AM,23.74,MINN.HUB
1/1/2022 10:00:00 AM,27.42,ARKANSAS.HUB
1/1/2022 10:00:00 AM,23.17,ILLINOIS.HUB
1/1/2022 10:00:00 AM,24.32,INDIANA.HUB
1/1/2022 10:00:00 AM,28.88,LOUISIANA.HUB
1/1/2022 10:00:00 AM,28.91,TEXAS.HUB
1/1/2022 10:00:00 AM,24.15,MICHIGAN.HUB
