,NODE,LAT,LON,lowestMean,Mean,Percent Difference
0,AECI,39.446691,-92.602415,31.248411764705885,47.12182107843138,33.68589954812056
1,AECI.ALTW,41.117958,-92.994246,32.684411764705885,47.994620098039206,31.89984273666292
2,AECI.AMMO,39.558339,-91.730584,37.41694117647059,51.419137254901955,27.231487780547102
3,AECI.APM_2.AZ,38.945081,-92.443189,31.999176470588242,47.885308823529414,33.17537830127807
4,AECI.CWLD,38.9611,-92.4062,31.999176470588242,47.885308823529414,33.17537830127807
5,ALTE.1ROCKGEN,42.976918,-89.048801,39.5585294117647,53.91672794117647,26.630322494860337
6,ALTE.ALTE,43.537466,-89.102232,41.09952941176471,56.80797058823529,27.651825991692323
7,ALTE.AZ,43.625785,-89.778957,41.178470588235285,56.79496078431373,27.49626019706942
8,ALTE.CC.RIVS1,42.582981,-89.035654,39.43147058823529,53.99677696078432,26.974399570417358
9,ALTE.CC.RIVS2,42.582981,-89.035654,39.43147058823529,53.99677696078432,26.974399570417358
10,ALTE.CC.WRIVS1,42.582981,-89.035654,38.40070588235294,52.76919607843137,27.228935181658642
11,ALTE.CC.WRIVS2,42.582981,-89.035654,38.40258823529411,52.77086764705882,27.227673245515653
12,ALTE.CEDARDGE,43.723729,-88.301226,40.29735294117648,55.206678921568624,27.00638087933821
13,ALTE.COLUMBAL1,43.486124,-89.420205,39.863352941176466,54.29072794117647,26.574289104452493
14,ALTE.COLUMBAL2,43.486124,-89.420205,39.856764705882355,54.284522058823526,26.5780314641198
15,ALTE.EDGG5G5,43.715762,-87.706193,39.81752941176471,54.34970098039216,26.73827326827473
16,ALTE.KILBOUNIL,43.625842,-89.780911,41.93070588235294,59.485593137254895,29.51115779310874
17,ALTE.NEENAHG1,44.19363,-88.506425,38.709,53.63726225490196,27.831887063806377
18,ALTE.NEENAHG2,44.19363,-88.506425,38.70658823529411,53.63466176470588,27.832884627670275
19,ALTE.PAR_1.AZ,43.53704,-89.227064,41.527411764705874,56.63888725490196,26.68038908001008
20,ALTE.PDSG1S1,43.309974,-89.727612,41.672000000000004,56.85790196078432,26.708516208104623
21,ALTE.QUILTBLCK,42.663558,-90.265181,8.955294117647057,34.12392156862745,73.7565505194447
22,ALTE.ROCKGEN2,42.976918,-89.048801,39.5585294117647,53.91672794117647,26.630322494860337
23,ALTE.ROCKGEN3,42.976918,-89.048801,39.5585294117647,53.91672794117647,26.630322494860337
24,ALTE.SFONDDLG1,43.735398,-88.496561,40.16858823529412,54.99778431372549,26.96326090854996
25,ALTE.SFONDDLG2,43.735398,-88.496561,40.166764705882365,54.99493872549019,26.962797601472648
26,ALTE.SFONDDLG3,43.735398,-88.496561,40.16858823529412,54.99540686274509,26.960103530927654
27,ALTE.SFONDDLG4,43.735398,-88.496561,40.16688235294118,54.99506617647059,26.962752942142266
28,ALTE.SHEB1,43.751946,-87.878545,38.45182352941177,52.982575980392156,27.425530341065222
29,ALTE.SHEB2,43.751946,-87.878545,38.45182352941177,52.982575980392156,27.425530341065222
